station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month
Palmerston,2022-07-05,16.854782608695654,62.61,23,,18.35,64.42,43.75833333333333,21.1275,2.688333333333333,1011.9379166666666,0.0,0.6576090863494758,-0.7162284909201024,2022,7
Palmerston,2022-07-06,8.615416666666667,29.16,24,2.0,10.857916666666666,31.02,48.550000000000004,20.477083333333333,1.8412499999999998,1012.9891666666667,0.0,0.6380755984887726,-0.501865286042985,2022,7
Palmerston,2022-07-07,8.515,20.39,24,0.0,11.755416666666667,21.59,56.62916666666666,20.91208333333333,1.7995833333333333,1012.9770833333333,0.0,0.49097746454059893,-0.2413685425182909,2022,7
Palmerston,2022-07-08,9.742916666666668,20.92,24,0.0,13.355833333333335,24.8,62.23333333333333,21.58583333333333,1.9016666666666666,1012.13375,0.0,0.3224186549005706,-0.4959405991036252,2022,7
Palmerston,2022-07-09,14.511739130434782,48.31,23,,16.588333333333335,52.37,60.36666666666667,22.31,2.0156521739130433,1011.7620833333334,0.0,0.5726977327798053,-0.41692790353166365,2022,7
Palmerston,2022-07-10,14.859166666666667,56.19,24,5.0,17.480416666666667,60.73,55.45416666666667,22.45,1.9795652173913043,1012.8891666666667,0.0,0.6938852643550765,-0.33030797088340136,2022,7
Palmerston,2022-07-11,11.144583333333335,21.8,24,0.0,14.242916666666666,23.83,60.75,21.8125,1.7579166666666666,1012.8137499999999,0.0,0.29336133219996063,-0.2759442699022597,2022,7
Palmerston,2022-07-12,11.810416666666667,21.0,24,0.0,15.222916666666668,24.24,60.300000000000004,21.28375,1.9821739130434783,1012.2941666666667,0.0,0.6336848671507576,-0.4571803501844987,2022,7
Palmerston,2022-07-13,,,3,,,,46.050000000000004,20.35875,2.2395833333333335,1012.235,0.0,0.7279070498312895,-0.617560745941156,2022,7
Palmerston,2022-07-14,,,0,,,,42.74166666666667,20.7125,2.0991304347826087,1013.1820833333333,0.0,0.5732626343928622,-0.3420186342482777,2022,7
Palmerston,2022-07-15,,,0,,,,58.36666666666667,21.02541666666667,2.3179166666666666,1013.7674999999999,0.0,0.853458876677104,-0.05140626560133887,2022,7
Palmerston,2022-07-16,,,0,,,,69.21666666666667,22.777083333333334,2.2979166666666666,1013.8629166666666,0.0,0.5227125285792319,-0.14923797351463883,2022,7
Palmerston,2022-07-17,,,0,,,,71.76666666666667,22.784166666666668,1.28,1013.7391666666667,0.0,0.1703410750993676,-0.966052242345179,2022,7
Palmerston,2022-07-18,,,8,,,,73.80416666666666,22.752499999999998,2.445,1012.4941666666667,0.0,-0.5985273355643803,0.07098055728191156,2022,7
