station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month,fire_count_0_25km,fire_count_25_50km,fire_count_50_100km,fire_count_100_200km,fire_count_200_500km,frp_sum_0_25km,frp_sum_25_50km,frp_sum_50_100km,frp_sum_100_200km,frp_sum_200_500km,frp_mean_0_25km,frp_mean_25_50km,frp_mean_50_100km,frp_mean_100_200km,frp_mean_200_500km,frp_max_0_25km,frp_max_25_50km,frp_max_50_100km,frp_max_100_200km,frp_max_200_500km,fire_count_0_500km,frp_sum_0_500km,frp_mean_0_500km,frp_max_0_500km,nearest_fire_km,firms_local_day_complete,fire_day,humidity_hours,temperature_hours,wind_speed_hours,pressure_hours,wind_direction_hours,month_sin,month_cos,pm25_lag1,pm25_3day_mean,target_date,target_pm25_next_day,target_hours_ge_25_next_day,target_pm25_over_25_next_day,target_year
Palmerston,2018-01-23,1.9985,3.79,20,,10.081666666666665,26.59,,29.99416666666667,2.9470833333333335,996.9575,8.0,-0.44207949375517236,-0.49645224514498604,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,,,2018-01-24,2.3085,,0,2018.0
Palmerston,2018-01-24,2.3085,5.32,20,,12.456666666666665,28.43,,31.721249999999998,3.858333333333333,997.9170833333333,5.699999999999999,-0.5066059480596731,-0.760975318870896,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,1.9985,,2018-01-25,1.8408695652173912,,0,2018.0
Palmerston,2018-01-25,1.8408695652173912,3.89,23,,12.350416666666668,26.0,,30.017916666666668,3.1512499999999997,990.1158333333333,31.3,-0.34866708541726904,-0.2152886749412648,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,2.3085,2.049289855072464,2018-01-26,4.835714285714285,,0,2018.0
Palmerston,2018-01-26,4.835714285714285,7.4,21,,22.248695652173915,42.02,,31.265,4.77875,995.0341666666667,20.200000000000003,-0.7621606914856686,-0.5139388697454251,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,1.8408695652173912,2.995027950310559,2018-01-27,3.1331818181818183,,0,2018.0
Palmerston,2018-01-27,3.1331818181818183,6.51,22,,17.633181818181818,33.83,,,,990.5,103.3,,,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,17,17,24,17,0.49999999999999994,0.8660254037844387,4.835714285714285,3.269921889704498,2018-01-28,2.1055,,0,2018.0
Palmerston,2018-01-28,2.1055,4.3,20,,13.258260869565218,28.43,,27.508333333333336,3.6816666666666666,991.3408333333333,80.89999999999999,-0.6786494479027761,-0.07282799235746032,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,3.1331818181818183,3.358132034632035,2018-01-29,3.4910000000000005,,0,2018.0
Palmerston,2018-01-29,3.4910000000000005,7.59,20,,18.615,32.11,,27.729583333333334,4.076666666666667,990.9520833333332,111.5,-0.6632889587521275,-0.3297835336903006,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,2.1055,2.9098939393939394,2018-01-30,6.512083333333333,0.0,0,2018.0
Palmerston,2018-01-30,6.512083333333333,14.97,24,0.0,23.165217391304346,45.89,,28.487916666666667,1.9004166666666666,997.7404166666666,49.2,-0.48468906682267204,0.19222627926977517,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,3.4910000000000005,4.036194444444445,2018-01-31,4.228181818181818,,0,2018.0
Palmerston,2018-01-31,4.228181818181818,7.83,22,,19.110833333333332,36.3,,30.096666666666664,3.02875,999.7354166666668,6.3,-0.5587933470330066,-0.1838126791628926,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.49999999999999994,0.8660254037844387,6.512083333333333,4.74375505050505,2018-02-01,4.58625,0.0,0,2018.0
Palmerston,2018-02-01,4.58625,9.57,24,0.0,17.181818181818183,31.78,,30.955416666666665,3.0850000000000004,1001.0308333333334,1.3,-0.7689425550630848,-0.32156653480020786,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1,0,0,24,24,24,24,0.8660254037844386,0.5000000000000001,4.228181818181818,5.108838383838383,2018-02-02,4.3525,0.0,0,2018.0
